seed,total_time,mse,l1,mse_mean
27,3.506540060043335,0.9785215854644775,0.7573626637458801,0.11293729394674301
28,2.9835100173950195,0.9830836653709412,0.7487896084785461,0.19175024330615997
29,4.277965068817139,0.8852344751358032,0.7350425124168396,0.10453018546104431
30,7.425251007080078,0.8399097323417664,0.7087950110435486,0.0928475633263588
31,4.377301216125488,0.8272730112075806,0.7122390270233154,0.11213210970163345
32,5.333634853363037,0.9176342487335205,0.7351405620574951,0.11039730906486511
33,4.948282718658447,0.7544661164283752,0.6737489104270935,0.08034392446279526
34,4.074209690093994,0.9811009764671326,0.7510876655578613,0.14911453425884247
35,5.217249631881714,0.8605653643608093,0.7361903190612793,0.10541732609272003
36,4.81875205039978,0.766242504119873,0.6899519562721252,0.07588929682970047
37,4.260180950164795,1.0825839042663574,0.7249884009361267,0.2819061279296875
38,3.9700889587402344,1.0901535749435425,0.7703439593315125,0.23445414006710052
39,3.620903968811035,0.9540227055549622,0.7379063963890076,0.185160294175148
40,5.404958963394165,0.944666862487793,0.7564322352409363,0.08673982322216034
41,3.5100831985473633,0.854119062423706,0.7195584774017334,0.10733745992183685
42,4.224010944366455,0.9445452690124512,0.7508286237716675,0.07570140063762665
43,4.848299026489258,0.9212783575057983,0.7321572303771973,0.136008620262146
44,4.121809005737305,0.9098801016807556,0.7414859533309937,0.09028887748718262
45,5.199830770492554,0.969464123249054,0.7499240636825562,0.11083279550075531
46,6.7465291023254395,0.9013496041297913,0.7326457500457764,0.10428032279014587
47,5.227798938751221,0.9411737322807312,0.7462238669395447,0.0684971958398819
48,4.255316972732544,0.9982309937477112,0.7442299723625183,0.2258356809616089
49,5.914578914642334,0.9296289086341858,0.7576777935028076,0.08918890357017517
50,4.849569082260132,0.8878549933433533,0.7106218338012695,0.1279996633529663
51,4.8514392375946045,0.9780140519142151,0.7391716241836548,0.15314757823944092
52,6.534916162490845,0.8489978313446045,0.7230886220932007,0.09097091853618622
53,4.734203100204468,0.9020094275474548,0.7465065717697144,0.11767169088125229
54,4.966054916381836,0.8001012206077576,0.7061976790428162,0.08216188848018646
55,5.558532953262329,0.8781518936157227,0.7168265581130981,0.1064644455909729
56,4.166406869888306,0.8217211961746216,0.7172783017158508,0.07333298027515411
57,4.365375280380249,0.8326338529586792,0.7109681963920593,0.10527702420949936
58,3.9932069778442383,0.8711975812911987,0.7261131405830383,0.08108048886060715
59,3.920974016189575,0.9024373292922974,0.7347391247749329,0.06779942661523819
60,3.9015989303588867,0.8770428895950317,0.7419605851173401,0.08193128556013107
61,3.6590211391448975,0.8989970088005066,0.7275960445404053,0.12359384447336197
62,3.701817035675049,0.8284693956375122,0.7180110812187195,0.10312922298908234
63,3.993051052093506,0.9151957631111145,0.7363111972808838,0.09038401395082474
64,4.048815965652466,0.9441678524017334,0.7549720406532288,0.09160234779119492
65,3.653855085372925,0.9160218834877014,0.7428974509239197,0.0925554484128952
66,3.458967924118042,0.801522970199585,0.7125105261802673,0.0994570180773735
